0,Other
1,CST-left
2,CST-right
3,AF-left
4,AF-right
5,CC-fma
6,CC-fmi
7,CG-left
8,CG-right
9,IFOF-left
10,IFOF-right
11,ILF-left
12,ILF-right
13,MdLF-left
14,MdLF-right
15,OR-left
16,OR-right
17,SLF-left
18,SLF-right
19,UF-left
20,UF-right
